date,symbol,volume,low,high,open,close,last
2023-05-30,A,2094836,117.67,121.305,120.01,117.73,117.73
2023-05-30,AA,6159490,32.07,33.705,33.705,32.8,32.8
2023-05-30,AAA,162,24.56,24.575,24.56,24.575,24.575
2023-05-30,AAAU,724503,19.35,19.466,19.4,19.435,19.435
2023-05-30,AABB,8255128,0.0303,0.035,0.0331,0.030895,0.030895
2023-05-30,AAC,48954,10.47,10.49,10.48,10.48,10.48
2023-05-30,AAC+,10808,0.54,0.59,0.54,0.59,0.59
2023-05-30,AAC.U,42,0.0,0.0,0.0,0.0,0.0
2023-05-30,AAC.W,10808,0.54,0.59,0.54,0.59,0.59
2023-05-30,AAC=,42,0.0,0.0,0.0,0.0,0.0
2023-05-30,AACAY,2160,1.9805,2.0493,1.99,1.9875,1.9875
2023-05-30,AACG,16985,1.48,1.5745,1.5,1.4906,1.4906
2023-05-30,AACI,219,10.22,10.22,10.22,10.22,10.22
2023-05-30,AACIW,940,0.0659,0.0659,0.0659,0.0659,0.0659
2023-05-30,AACT.U,5855,10.16,10.2,10.2,10.18,10.18
2023-05-30,AACT=,5855,10.16,10.2,10.2,10.18,10.18
2023-05-30,AADI,37089,7.65,7.805,7.68,7.73,7.73
2023-05-30,AADR,1016,46.37,46.5553,46.4383,46.4744,46.4744
2023-05-30,AAEEF,8000,0.0051,0.035,0.035,0.0051,0.0051
2023-05-30,AAGC,622600,2.5E-4,3.0E-4,3.0E-4,3.0E-4,3.0E-4
2023-05-30,AAGFF,14700,0.1602,0.1667,0.1634,0.1602,0.1602
2023-05-30,AAGH,68000,0.0044,0.0044,0.0044,0.0044,0.0044
2023-05-30,AAGIY,328711,38.4201,39.6591,39.6591,38.56,38.56
2023-05-30,AAIC,5148039,3.9877,4.23,4.14,4.06,4.06
2023-05-30,AAIC$B,52495,19.03,22.19,21.05,19.6022,19.6022
2023-05-30,AAIC$C,12828,22.4,23.5,22.92,22.5,22.5
2023-05-30,AAIC-B,52495,19.03,22.19,21.05,19.6022,19.6022
2023-05-30,AAIC-C,12828,22.4,23.5,22.92,22.5,22.5
2023-05-30,AAIGF,32808,9.66,9.8,9.75,9.715,9.715
2023-05-30,AAIN,7697,23.21,23.5,23.29,23.47,23.47
